date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:10	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2001%20Dec%202020%2015:21:29%20GMT	https://proultimatewealth.com/robots.txt		(from )
19:50:10	319175/319175	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Nov%202024%2018:50:14%20GMT	https://proultimatewealth.com/	C:/webby/newone/proultimatewealth.com/index.html	(from )
19:50:10	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Nov%202024%2018:50:15%20GMT	https://proultimatewealth.com/img/favicons/apple-touch-icon.png	C:/webby/newone/proultimatewealth.com/img/favicons/apple-touch-icon.png	(from https://proultimatewealth.com/)
19:50:11	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Nov%202024%2018:50:15%20GMT	https://proultimatewealth.com/img/favicons/favicon-32x32.png	C:/webby/newone/proultimatewealth.com/img/favicons/favicon-32x32.png	(from https://proultimatewealth.com/)
19:50:11	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Nov%202024%2018:50:16%20GMT	https://proultimatewealth.com/img/favicons/favicon-16x16.png	C:/webby/newone/proultimatewealth.com/img/favicons/favicon-16x16.png	(from https://proultimatewealth.com/)
19:50:12	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Nov%202024%2018:50:16%20GMT	https://proultimatewealth.com/img/favicons/favicon.ico	C:/webby/newone/proultimatewealth.com/img/favicons/favicon.ico	(from https://proultimatewealth.com/)
19:50:12	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Nov%202024%2018:50:17%20GMT	https://proultimatewealth.com/img/favicons/safari-pinned-tab.svg	C:/webby/newone/proultimatewealth.com/img/favicons/safari-pinned-tab.svg	(from https://proultimatewealth.com/)
19:50:13	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Nov%202024%2018:50:17%20GMT	https://proultimatewealth.com/img/favicons/site.webmanifest	C:/webby/newone/proultimatewealth.com/img/favicons/site.webmanifest	(from https://proultimatewealth.com/)
19:50:13	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Nov%202024%2018:50:17%20GMT	https://proultimatewealth.com/img/favicons/browserconfig.xml	C:/webby/newone/proultimatewealth.com/img/favicons/browserconfig.xml	(from https://proultimatewealth.com/)
19:50:13	11710/11710	---M--	200	added ('OK')	image/png	date:Mon,%2006%20May%202024%2007:40:54%20GMT	https://proultimatewealth.com/img/favicon.png	C:/webby/newone/proultimatewealth.com/img/favicon.png	(from https://proultimatewealth.com/)
19:50:13	23328/23328	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20May%202024%2007:40:55%20GMT	https://proultimatewealth.com/auth/blank.min.css	C:/webby/newone/proultimatewealth.com/auth/blank.min.css	(from https://proultimatewealth.com/)
19:50:14	226165/226165	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20May%202024%2007:40:55%20GMT	https://proultimatewealth.com/css/main.min.css?6	C:/webby/newone/proultimatewealth.com/css/main.min1679.css	(from https://proultimatewealth.com/)
19:50:14	447/447	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20May%202024%2007:40:55%20GMT	https://proultimatewealth.com/css/custom.css	C:/webby/newone/proultimatewealth.com/css/custom.css	(from https://proultimatewealth.com/)
19:50:14	105461/105461	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20May%202024%2007:40:55%20GMT	https://proultimatewealth.com/css/all.min.css	C:/webby/newone/proultimatewealth.com/css/all.min.css	(from https://proultimatewealth.com/)
19:50:14	1797/1797	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20May%202024%2007:40:55%20GMT	https://proultimatewealth.com/css/flickity.min.css	C:/webby/newone/proultimatewealth.com/css/flickity.min.css	(from https://proultimatewealth.com/)
19:50:15	57654/57654	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2006%20May%202024%2007:40:55%20GMT	https://proultimatewealth.com/js/flickity.pkgd.min.js	C:/webby/newone/proultimatewealth.com/js/flickity.pkgd.min.js	(from https://proultimatewealth.com/)
19:50:16	236334/236334	---M--	200	added ('OK')	image/webp	date:Mon,%2006%20May%202024%2007:40:54%20GMT	https://proultimatewealth.com/img/Best-trading-software.webp	C:/webby/newone/proultimatewealth.com/img/Best-trading-software.webp	(from https://proultimatewealth.com/)
19:50:16	23316/23316	---M--	200	added ('OK')	image/png	date:Mon,%2006%20May%202024%2007:40:54%20GMT	https://proultimatewealth.com/img/logo.png	C:/webby/newone/proultimatewealth.com/img/logo.png	(from https://proultimatewealth.com/)
19:50:16	47834/47834	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Nov%202024%2018:50:21%20GMT	https://proultimatewealth.com/about	C:/webby/newone/proultimatewealth.com/about.html	(from https://proultimatewealth.com/)
19:50:17	46879/46879	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Nov%202024%2018:50:21%20GMT	https://proultimatewealth.com/option-copy-trading	C:/webby/newone/proultimatewealth.com/option-copy-trading.html	(from https://proultimatewealth.com/)
19:50:17	44611/44611	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Nov%202024%2018:50:22%20GMT	https://proultimatewealth.com/advance-trading	C:/webby/newone/proultimatewealth.com/advance-trading.html	(from https://proultimatewealth.com/)
19:50:18	46619/46619	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Nov%202024%2018:50:22%20GMT	https://proultimatewealth.com/live-trading	C:/webby/newone/proultimatewealth.com/live-trading.html	(from https://proultimatewealth.com/)
19:50:18	44530/44530	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Nov%202024%2018:50:23%20GMT	https://proultimatewealth.com/futures	C:/webby/newone/proultimatewealth.com/futures.html	(from https://proultimatewealth.com/)
19:50:19	44459/44459	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Nov%202024%2018:50:23%20GMT	https://proultimatewealth.com/stock-trading	C:/webby/newone/proultimatewealth.com/stock-trading.html	(from https://proultimatewealth.com/)
19:50:19	44456/44456	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Nov%202024%2018:50:23%20GMT	https://proultimatewealth.com/forex	C:/webby/newone/proultimatewealth.com/forex.html	(from https://proultimatewealth.com/)
